project-name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,fi-changes,ostrand,scattering,intensity,ana,acm,arl,acpd,bug,is-buggy,is-buggy-boolean
lucene,2.4,org.apache.lucene.index.IndexWriter,166,1,0,44,392,6747,16,34,88,0.886537506,8474,0.737704918,12,0,0.07003367,0,0,49.68072289,7,1.3795,59,2.0,11.0,9.5,1.0,6.0,1.0,7.48,30,1,TRUE
lucene,2.4,org.apache.lucene.index.SegmentReader,64,3,1,39,183,1464,13,33,28,0.903737839,2234,0.580645161,13,0.605095541,0.139194139,2,15,33.421875,30,1.6719,70,1.0,8.0,10,1.0,3.0,4.0,2.53,23,1,TRUE
lucene,2.4,org.apache.lucene.index.IndexReader,76,1,4,128,131,2812,104,25,62,0.946666667,722,0.571428571,1,0,0.100833333,0,0,8.407894737,12,1.1579,14,3.0,35.0,10,1.0,8.0,3.0,1.65,17,1,TRUE
lucene,2.4,org.apache.lucene.search.IndexSearcher,15,2,0,24,41,0,4,20,14,0.357142857,205,0.5,1,0.676470588,0.18974359,1,3,12.53333333,1,0.7333,67,4.0,60.0,0,2.0,6.0,3.0,1.04,12,1,TRUE
lucene,2.4,org.apache.lucene.index.SegmentInfos,38,4,0,30,97,553,22,10,28,0.93799682,729,0.411764706,1,0.686956522,0.162162162,1,2,17.73684211,6,1.2895,35,2.0,32.0,7.5,3.0,8.0,2.0,6.93,11,1,TRUE
lucene,2.4,org.apache.lucene.search.BooleanQuery,27,2,0,20,64,167,13,11,22,0.761538462,446,1,0,0.333333333,0.102564103,2,6,15.33333333,12,1.5926,21,2.0,14.0,9.1,2.0,6.0,4.0,4.26,10,1,TRUE
lucene,2.4,org.apache.lucene.index.DirectoryIndexReader,25,2,2,20,82,160,5,18,8,0.881944444,596,0.833333333,5,0.768421053,0.197916667,2,8,22.36,3,1.08,3,4.0,53.0,5.5,1.0,4.0,1.0,5.64,10,1,TRUE
lucene,2.4,org.apache.lucene.index.DocumentsWriter,76,1,0,53,185,1998,18,46,0,0.941202186,2835,0.409836066,12,0,0.069866667,0,0,35.5,23,2.0132,68,2.0,18.0,10,1.0,8.0,3.0,4.1,9,1,TRUE
lucene,2.4,org.apache.lucene.store.FSDirectory,29,2,2,18,97,114,8,10,24,0.846428571,1037,0.8,0,0.413043478,0.267857143,1,8,34.4137931,3,1.0345,72,4.0,53.0,9.1,1.0,7.0,2.0,3.56,9,1,TRUE
lucene,2.4,org.apache.lucene.index.CheckIndex,13,1,0,15,96,60,0,15,8,0.763888889,1498,0.5,1,0,0.1875,0,0,113.7692308,3,1.0769,66,3.0,67.0,8.6,1.0,2.0,4.0,2.74,7,1,TRUE
