project-name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,fi-changes,ostrand,scattering,intensity,ana,acm,arl,acpd,bug,is-buggy,is-buggy-boolean
pBeans,2,net.sourceforge.pbeans.DefaultStoreInfo,21,1,0,11,123,156,1,11,16,0.932142857,2106,1,2,0,0.211111111,0,0,98.61904762,35,2.6667,18.0,3.0,32.0,1.5,3.0,6.0,5.0,5.29,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.SimpleOperator,5,1,0,1,10,0,1,1,5,0,46,1,0,0,0.533333333,0,0,8,3,1.2,56.0,1.0,22.0,0.4,2.0,4.0,3.0,2.64,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.annotations.TransientProperty,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,58.0,1.0,10.0,0.39,2.0,6.0,4.0,1.5,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.PersistentMap,14,1,0,4,41,33,2,4,11,0.576923077,345,1,1,0,0.428571429,0,0,23.5,2,1,26.0,1.0,4.0,0.0,1.0,9.0,1.0,4.15,1,1,TRUE
pBeans,2,net.sourceforge.pbeans.annotations.PropertyIndex,3,1,0,2,3,3,2,0,3,2,3,0,0,0,1,0,0,0,1,1,16.0,2.0,30.0,0.27,1.0,5.0,2.0,1.36,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.data.ResultsIterator,1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,50.0,1.0,23.0,0.19,2.0,2.0,5.0,3.17,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.annotations.PersistentClass,6,1,0,2,6,15,1,1,6,2,6,0,0,0,1,0,0,0,1,1,52.0,3.0,32.0,1.49,1.0,4.0,1.0,1.99,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.MultiValueContainer,4,1,0,2,9,0,1,1,4,0,28,1,0,0,0.625,0,0,5.75,1,0.75,4.0,3.0,21.0,1.14,2.0,4.0,3.0,6.06,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.servlet.ServletAccess,6,1,0,3,32,13,0,3,4,1.114285714,324,1,0,0,0.4,0,0,51.83333333,1,0.6667,9.0,3.0,17.0,0.07,1.0,3.0,5.0,3.09,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.servlet.InitServlet,3,3,0,3,13,3,1,2,2,2,79,0,0,0.923076923,0.555555556,1,1,25.33333333,1,0.6667,42.0,2.0,3.0,0.78,3.0,8.0,5.0,2.68,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.PersistentID,6,1,0,7,10,0,7,0,4,0,47,1,0,0,0.333333333,1,1,6.666666667,3,1.1667,55.0,1.0,13.0,0.0,1.0,3.0,4.0,6.75,2,1,TRUE
pBeans,2,net.sourceforge.pbeans.Criteria,20,3,0,4,28,70,1,3,20,0.5,257,1,2,0.794117647,0.47,1,1,11.65,2,0.8,10.0,1.0,27.0,0.0,3.0,2.0,5.0,4.09,1,1,TRUE
pBeans,2,net.sourceforge.pbeans.servlet.UpdateResult,3,1,0,1,6,0,1,0,2,0,22,1,0,0,0.666666667,0,0,6,2,1,31.0,1.0,18.0,0.49,2.0,3.0,3.0,2.86,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.util.NameValueArray,2,1,0,3,3,0,3,0,2,0.333333333,30,0,0,0,0.75,0,0,12.5,1,0.5,23.0,2.0,3.0,1.28,3.0,6.0,1.0,4.52,0,0,FALSE
pBeans,2,net.sourceforge.pbeans.data.DefaultDatabaseFactory,4,1,0,4,28,0,1,3,4,0.444444444,193,1,0,0,0.5,0,0,46.5,1,0.75,19.0,1.0,28.0,0.6,3.0,9.0,4.0,6.59,0,0,FALSE
